,TWSE Index,LMCADY Comdty,XAU Curncy,S5COND Index,S5CONS Index,S5UTIL Index,MMFA Index,JPY Curncy,GVLQUSD Index,GVLQJPY Index,.TED G Index,US0003M Index,USGG3M Index,BICLUSSP Index,BICLOISS Index,NYRPVOA Index,LUACOAS Index,LF98OAS Index,EMUSOAS Index,GSUSFCI Index,CIFCEMAS Index,CIFCTW Index,TINFMTDN Index,TWD Curncy,BISNTWN Index,USYC2Y10 Index,USYC5Y30 Index,BLQCOAS Index,LUACOAS Index,LECPOAS Index,LG30OAS Index,LF98OAS Index,LP01OAS Index,BEHSOAS Index,BEHPOAS Index,CONssent Index,NAPMPMI Index,GRZEEUCU Index,EUR3EU27 Index,MXEM Index,JCOMACF Index,JNMTOY Index,JWEXBUS Index,MXJP Index,CHEFTYOY Index,CNPPIY Index,CPMINORD Index,CPMIPROD Index,CPMIIFGS Index,MXCN Index,MXEU Index,TW1 Index,FTA Index,KSFIYTDN Index,JASXYTDN Index,THIVYTDN Index,CNFVBYTD Index,FIINYTDN Index,TINFYTDN Index,KOSBYTDD Index,IDGBFYTD Index,TBTVYTDD Index,CNFVBYTD Index,FIINDYTD Index
2000/1/17,9315.43,1858.5,285.5,296.9036,211.1,151.68,1652,104.9,#N/A N/A,#N/A N/A,63.725,6.03625,5.399,49,#N/A N/A,2.995,1.11,4.67,#N/A N/A,98.31,#N/A N/A,#N/A N/A,858.51,30.85,117.25,21.6,7.4,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,137.6677,#N/A N/A,-2.7,#N/A N/A,1002.3,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.69,132.54,25526,#N/A N/A,556.3,27.227,-58.67,,-38.1,858.51,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.3
2000/1/18,9250.19,1865.25,288.65,295.6334,211.75,149,1652,105.67,#N/A N/A,#N/A N/A,65.7,6.035,5.378,50.2,#N/A N/A,8.985,1.11,4.67,#N/A N/A,98.37,#N/A N/A,#N/A N/A,947.43,30.84,117.65,30.05,8.5,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,134.2199,#N/A N/A,-2.7,#N/A N/A,993.98,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.74,129.5,26189,#N/A N/A,652.93,46.074,-57.79,,-28.1,947.43,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14
2000/1/19,9151.44,1895.75,289.63,298.1995,210.61,149.5,1663,105.32,#N/A N/A,#N/A N/A,71.15,6.0375,5.326,55.4,#N/A N/A,8.985,1.11,4.67,#N/A N/A,98.36,#N/A N/A,#N/A N/A,1022.12,30.84,117.75,24.05,8.35,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,134.0719,#N/A N/A,-2.7,#N/A N/A,974.88,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.68,129.14,25764,#N/A N/A,715.6,27.106,-44.88,,-38.8,1022.12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14
2000/1/20,9136.95,1886,288.5,293.7826,207.46,154.78,1663,105.47,#N/A N/A,#N/A N/A,58.4,6.04,5.456,42.4,#N/A N/A,2.51,1.11,4.67,#N/A N/A,98.39,#N/A N/A,#N/A N/A,1086.17,30.83,117.62,33.05,8.45,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,134.7087,#N/A N/A,-2.7,#N/A N/A,973.91,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.41,128.96,25925,#N/A N/A,694.35,22.407,-36.56,,-76.1,1086.17,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14
2000/1/21,9255.94,1882,289.1,291.5108,203.87,158.99,1663,104.78,#N/A N/A,#N/A N/A,57.6,6.04,5.464,41.6,#N/A N/A,2.51,1.11,4.67,#N/A N/A,98.39,#N/A N/A,#N/A N/A,1234.56,30.82,117.37,35.95,18.85,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,133.5515,#N/A N/A,-2.7,#N/A N/A,974.83,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.28,128.44,26305,#N/A N/A,786.41,18.478,-33.87,,-52.6,1234.56,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.8
2000/1/24,9387.07,1853.5,287.6,281.7176,200.8,156.81,1663,105.57,#N/A N/A,#N/A N/A,58.8,6.04,5.452,43.8,#N/A N/A,5.5,1.11,4.67,#N/A N/A,98.52,#N/A N/A,#N/A N/A,1339.53,30.813,117.64,25.25,10.85,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,133.7694,#N/A N/A,-2.7,#N/A N/A,984.79,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.44,128.79,26656,#N/A N/A,844.72,12.312,-39.23,,0.8,1339.53,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.5
2000/1/25,9372.37,1844.25,287.05,283.6643,197.84,153.01,1663,106.04,#N/A N/A,#N/A N/A,47.8,6.04,5.562,32.8,#N/A N/A,5.5,1.11,4.67,#N/A N/A,98.49,#N/A N/A,#N/A N/A,1475.15,30.811,117.94,25,6.35,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,131.7657,#N/A N/A,-2.7,#N/A N/A,974.83,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.46,126.48,26104,#N/A N/A,941.18,13.158,-58.06,,19.5,1475.15,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.5
2000/1/26,9581.96,1816,286,285.3907,197.79,154.33,1673,105.66,#N/A N/A,#N/A N/A,47.9,6.04,5.561,32.9,#N/A N/A,5.5,1.11,4.67,#N/A N/A,98.49,#N/A N/A,#N/A N/A,1706.7,30.793,118.09,15.8,-3.5,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,133.2467,#N/A N/A,-2.7,#N/A N/A,989.63,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.72,127.95,26053,#N/A N/A,957.76,8.594,-64.03,,19.5,1706.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.5
2000/1/27,9628.98,1826.5,286.85,284.37,196.56,154.24,1673,105.12,#N/A N/A,#N/A N/A,43.8,6.04,5.602,28.8,#N/A N/A,2.8,1.11,4.67,#N/A N/A,98.5,#N/A N/A,#N/A N/A,1800.68,30.778,118.36,13.45,-9.15,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,134.9666,#N/A N/A,-2.7,#N/A N/A,995.95,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.18,129.78,17044,#N/A N/A,1030.48,2.385,-74.28,,14.4,1800.68,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.5
2000/1/28,9696.91,1820.5,283.25,273.0436,191.98,152.07,1673,107.13,#N/A N/A,#N/A N/A,42.875,6.04875,5.62,28,#N/A N/A,2.01,1.11,4.67,#N/A N/A,98.7,#N/A N/A,#N/A N/A,1924.59,30.706,118.8,6.65,-16.4,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,135.0991,#N/A N/A,-2.7,#N/A N/A,1010.22,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.23,129.56,8466,#N/A N/A,1241.71,0.229,-73.4,,34.5,1924.59,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.5
2000/1/31,9744.89,1831,283.5,274.2822,193.87,157.63,1673,107.32,#N/A N/A,#N/A N/A,38.55,6.0775,5.692,25.8,#N/A N/A,5.5,1.15,4.82,#N/A N/A,98.62,#N/A N/A,#N/A N/A,1983.83,30.697,119.51,9.05,-21.9,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,132.1554,#N/A N/A,5.6,52.3,1015.45,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,32.08,127.07,26761,#N/A N/A,1257.98,-3.39,-87.99,,55.5,1983.83,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.4
2000/2/1,9856.39,1818.5,282.63,281.3091,193.78,156.12,1673,107.85,#N/A N/A,#N/A N/A,38.325,6.09125,5.708,27.2,#N/A N/A,2.95,1.15,4.82,#N/A N/A,98.54,#N/A N/A,#N/A N/A,56.24,30.682,120.15,2.75,-16.95,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,134.8673,#N/A N/A,5.6,52.3,1007.12,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,31.29,129.19,27664,#N/A N/A,1189.04,-19.04,-108.43,,60.2,2040.07,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15
2000/2/2,9856.39,1789.5,284.75,283.0434,192.27,154.88,1661,108.16,#N/A N/A,#N/A N/A,45.5,6.1,5.645,32.5,#N/A N/A,1.505,1.15,4.82,#N/A N/A,98.54,#N/A N/A,#N/A N/A,56.24,30.781,119.97,5,-8.45,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,137.7537,#N/A N/A,5.6,52.3,1018.1,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,30.86,130.96,28705,#N/A N/A,1191.99,-28.046,-118.77,,91.8,2040.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,23.1
2000/2/3,9856.39,1779.75,287.45,285.9377,191.65,157.3,1661,107.56,#N/A N/A,#N/A N/A,48.55,6.0975,5.612,35.8,#N/A N/A,4.765,1.15,4.82,#N/A N/A,98.43,#N/A N/A,#N/A N/A,56.24,30.785,119.89,-12.85,-36.9,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,141.4252,#N/A N/A,5.6,52.3,1032.33,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,31.67,132.75,28171,#N/A N/A,1279.97,-32.308,-123.02,,108.6,2040.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,23.1
2000/2/4,9856.39,1781.75,310.3,285.459,189,153.37,1661,107.19,#N/A N/A,#N/A N/A,42.8,6.09,5.662,30.8,#N/A N/A,3.75,1.15,4.82,#N/A N/A,98.46,#N/A N/A,#N/A N/A,56.24,30.775,119.31,-12.1,-60.1,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,143.4357,#N/A N/A,5.6,52.3,1043.06,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,31.72,132.88,28097,#N/A N/A,1283.41,-32.308,-133.17,,116.8,2040.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,23.1
2000/2/7,9856.39,1784.75,302.75,280.4425,187.99,153.52,1661,108.62,#N/A N/A,#N/A N/A,48.1,6.1,5.619,35.1,#N/A N/A,3.75,1.15,4.82,#N/A N/A,98.51,#N/A N/A,#N/A N/A,56.24,30.755,119.71,-3.95,-46.2,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,141.581,#N/A N/A,5.6,52.3,1046.93,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,31.76,131.66,28089,#N/A N/A,1376.55,-32.246,-136.33,,178.2,2040.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,33.2
2000/2/8,9856.39,1775.25,301.75,286.4669,189.9,156.11,1661,109.47,#N/A N/A,#N/A N/A,42.3,6.1,5.677,28.3,#N/A N/A,3.75,1.15,4.82,#N/A N/A,98.4,#N/A N/A,#N/A N/A,56.24,30.68,119.86,-3.95,-37.65,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,145.1818,#N/A N/A,5.6,52.3,1034.58,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,31.32,134.67,28089,#N/A N/A,1701,-26.738,-144.56,,197,2040.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.9
2000/2/9,10008.88,1777.75,306.75,280.1979,188.35,155.35,1668,108.79,#N/A N/A,#N/A N/A,46.6,6.1,5.634,32.6,#N/A N/A,6.5,1.15,4.82,#N/A N/A,98.53,#N/A N/A,#N/A N/A,473.89,30.626,120.25,-0.2,-54.3,#N/A N/A,1.15,#N/A N/A,#N/A N/A,4.82,#N/A N/A,#N/A N/A,#N/A N/A,112,56.7,20.1,-9.5,145.567,#N/A N/A,5.6,52.3,1042.26,0,2.1,#N/A N/A,#N/A N/A,#N/A N/A,30.17,134.79,28089,#N/A N/A,1859.9,-23.633,-155.22,,211.9,2457.72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.9
